Restaurant Name,Types of Food,Rating1,Ratings2,Price,Discount
Reddy Military Hotel,"South Indian, Hyderabadi, Chinese, North Indian, Andhra",,3.8,₹250 FOR TWO,
BlueFox,"Biryani, North Indian, Chinese, Tandoor",4.2,,₹800 FOR TWO,20% off | Use TRYNEW
Landmaark Family Restaurant,"North Indian, Chinese, Mughlai, Hyderabadi, Biryani, Seafood",,3.8,₹500 FOR TWO,10% off | Use TRYNEW
SVM Grand,"South Indian, North Indian, Chinese",,3.9,₹300 FOR TWO,40% off | Use TRYNEW
Krispy Kreme,"Desserts, Beverages",4.3,,₹170 FOR TWO,
Desi Kitchen,Indian,4.0,,₹200 FOR TWO,
Sri Narsing Bhelpuri & Juice Centre (Bogulkunta),"Indian, North Indian, Chaat, Italian, Beverages, Desserts, Punjabi, Snacks, Pizz...",4.2,,₹200 FOR TWO,
Sri Balaji mithai bhandar,"Sweets, Desserts, Beverages",4.1,,₹300 FOR TWO,40% off | Use GUILTFREE
Oven Story Pizza,"Pizzas, Italian",,3.7,₹400 FOR TWO,
MRCB CURRY POINT,"North Indian, Biryani, Snacks",,3.6,₹300 FOR TWO,
SRI RAGHAVENDRA TIFFINS & MEALS,South Indian,4.3,,₹280 FOR TWO,10% off | Use TRYNEW
SIRI FOOD COURT,"Chinese, Biryani",,3.5,₹200 FOR TWO,
Raj Thali,"Gujarati, Rajasthani",,3.1,₹1000 FOR TWO,
Sri Lakshmi Fast Food,"Chinese, Biryani, Snacks",,,₹400 FOR TWO,
Anupama hotel,"Biryani, South Indian",,3.5,₹250 FOR TWO,
Sri Radhe Chills and Thrills,"Italian, Juices",4.2,,₹200 FOR TWO,10% off | Use PARTY
Cake L'amore,"Bakery, Beverages, Desserts",4.1,,₹200 FOR TWO,Flat ₹125 off on orders above ₹249
Darleys ice cream,"Desserts, Ice Cream, Beverages",4.2,,₹100 FOR TWO,
The Nosh Bistro,"Continental, Pizzas",4.1,,₹250 FOR TWO,
Shawarma House,"Arabian, Snacks",,3.0,₹200 FOR TWO,
Santosh Dhaba Old,"Biryani, North Indian, Chinese",,3.6,₹300 FOR TWO,50% off | Use TRYNEW
New Max Ice Cream,"Ice Cream, Fast Food, Snacks, Chinese",4.1,,₹200 FOR TWO,
Madhur Sweets,"Sweets, Desserts, Snacks",4.5,,₹250 FOR TWO,10% off | Use TRYNEW
Jain Kitchen Pure Veg Restaurant,"North Indian, Jain, Chinese, Tandoor",4.1,,₹200 FOR TWO,10% off | Use PARTY
Mayur Pan House,"Chaat, Paan, Juices",4.1,,₹150 FOR TWO,40% off | Use GUILTFREE
Sri Balaji Family Dhaba,"Indian, Biryani",,3.8,₹300 FOR TWO,FLAT250 off | Use FLATDEAL
The mandiwala,"Arabian, North Indian",,,₹460 FOR TWO,20% off | Use TRYNEW
Lassi shop-IS Sadan Cross Road,Ice Cream,4.1,,₹100 FOR TWO,
Al Ibrahim hotel,Biryani,,3.7,₹250 FOR TWO,
Minerva Sweets,"Sweets, Desserts, Snacks, Fast Food",4.3,,₹200 FOR TWO,40% off | Use TRYNEW
Sai Charan Dhaba,"North Indian, Tandoor",4.2,,₹300 FOR TWO,15% off | Use PARTY
Dunkin',"Beverages, Fast Food, Desserts",4.1,,₹250 FOR TWO,60% off | Use SPECIALS
Grameen Kulfi,"Ice Cream, Desserts",4.7,,₹120 FOR TWO,
Al-Hamoor Arabian Restaurant,"Arabian, Desserts",,,₹600 FOR TWO,
Mandilicious,"Arabian, Indian, Chinese",,3.9,₹450 FOR TWO,
Ganesh Fast Food And Biryani Point,"Chinese, North Indian",4.0,,₹200 FOR TWO,
New grand Restaurant & bakery,"Chinese, Mughlai, Kebabs",,3.9,₹300 FOR TWO,20% off | Use TRYNEW
Al Noor Bakery,Bakery,4.2,,₹120 FOR TWO,
