Restaurant Name,Types of Food,Price,Discount,Rating,Discount_Percentage,Coupon_Code
Sri Narsing Bhelpuri & Juice Centre (Bogulkunta),"Indian, North Indian, Chaat, Italian, Beverages, Desserts, Punjabi, Snacks, Pizz...",200.0,,4.2,20.0,
Sri Balaji mithai bhandar,"Sweets, Desserts, Beverages",300.0,40% off | Use GUILTFREE,4.1,20.0,GUILTFREE
Oven Story Pizza,"Pizzas, Italian",400.0,,3.7,20.0,
MRCB CURRY POINT,"North Indian, Biryani, Snacks",300.0,,3.6,20.0,
SRI RAGHAVENDRA TIFFINS & MEALS,South Indian,280.0,10% off | Use TRYNEW,4.3,20.0,TRYNEW
SIRI FOOD COURT,"Chinese, Biryani",200.0,,3.5,20.0,
Raj Thali,"Gujarati, Rajasthani",300.0,,3.1,20.0,
Sri Lakshmi Fast Food,"Chinese, Biryani, Snacks",400.0,,0.0,20.0,
Anupama hotel,"Biryani, South Indian",250.0,,3.5,20.0,
Sri Radhe Chills and Thrills,"Italian, Juices",200.0,10% off | Use PARTY,4.2,20.0,PARTY
Cake L'amore,"Bakery, Beverages, Desserts",200.0,Flat ₹125 off on orders above ₹249,4.1,20.0,
Darleys ice cream,"Desserts, Ice Cream, Beverages",100.0,,4.2,20.0,
The Nosh Bistro,"Continental, Pizzas",250.0,,4.1,20.0,
Shawarma House,"Arabian, Snacks",200.0,,3.0,20.0,
Santosh Dhaba Old,"Biryani, North Indian, Chinese",300.0,50% off | Use TRYNEW,3.6,20.0,TRYNEW
New Max Ice Cream,"Ice Cream, Fast Food, Snacks, Chinese",200.0,,4.1,20.0,
Madhur Sweets,"Sweets, Desserts, Snacks",250.0,10% off | Use TRYNEW,4.5,20.0,TRYNEW
Jain Kitchen Pure Veg Restaurant,"North Indian, Jain, Chinese, Tandoor",200.0,10% off | Use PARTY,4.1,20.0,PARTY
Mayur Pan House,"Chaat, Paan, Juices",150.0,40% off | Use GUILTFREE,4.1,20.0,GUILTFREE
Sri Balaji Family Dhaba,"Indian, Biryani",300.0,FLAT250 off | Use FLATDEAL,3.8,20.0,FLATDEAL
The mandiwala,"Arabian, North Indian",460.0,20% off | Use TRYNEW,0.0,20.0,TRYNEW
Lassi shop-IS Sadan Cross Road,Ice Cream,100.0,,4.1,20.0,
Al Ibrahim hotel,Biryani,250.0,,3.7,20.0,
Minerva Sweets,"Sweets, Desserts, Snacks, Fast Food",200.0,40% off | Use TRYNEW,4.3,20.0,TRYNEW
Sai Charan Dhaba,"North Indian, Tandoor",300.0,15% off | Use PARTY,4.2,20.0,PARTY
Dunkin',"Beverages, Fast Food, Desserts",250.0,60% off | Use SPECIALS,4.1,20.0,SPECIALS
Grameen Kulfi,"Ice Cream, Desserts",120.0,,4.7,20.0,
Al-Hamoor Arabian Restaurant,"Arabian, Desserts",600.0,,0.0,20.0,
Mandilicious,"Arabian, Indian, Chinese",450.0,,3.9,20.0,
Ganesh Fast Food And Biryani Point,"Chinese, North Indian",200.0,,4.0,20.0,
New grand Restaurant & bakery,"Chinese, Mughlai, Kebabs",300.0,20% off | Use TRYNEW,3.9,20.0,TRYNEW
Al Noor Bakery,Bakery,120.0,,4.2,20.0,
Al baik Shawarma & juice point,"Juices, Fast Food",250.0,50% off | Use TRYNEW,4.0,20.0,TRYNEW
Hot Bucket Biryani,Biryani,300.0,30% off | Use TRYNEW,0.0,20.0,TRYNEW
Jalebi Wala,"Snacks, Sweets",100.0,,4.4,20.0,
Aamantran Pure Veg,"Biryani, North Indian, Chinese, Beverages",450.0,20% off | Use TRYNEW,4.2,20.0,TRYNEW
Subway,"Salads, Snacks, Desserts, Beverages",350.0,20% off | Use TRYNEW,4.2,20.0,TRYNEW
SAI KIRAN FOODS,North Indian,300.0,,4.3,20.0,
"AMERICAN BAKERS, BAKERS & CONFECTIONERS","Italian, Pizzas, Burgers",250.0,,4.0,20.0,
Govind Dosa,South Indian,250.0,20% off | Use TRYNEW,4.2,20.0,TRYNEW
